                            ;   coef   ; std err ;    z    ;P>|z| ;  [0.025 ;  0.975] 
FLAG_DOCUMENT_21            ;2282;298;767;443,000;-355;812
BASEMENTAREA_MODE           ;6869;909;756;450,000;-1094;2468
OBS_30_CNT_SOCIAL_CIRCLE    ;363;50;726;468,000;-62;134
FLAG_EMAIL                  ;217;30;715;475,000;-38;81
SK_ID_CURR                  ;-0,00004521;0,00000663;-682;495,000;-0,0000175;0,00000848
FLAG_DOCUMENT_9             ;887;133;664;507,000;-173;350
ELEVATORS_MEDI              ;-8297;1469;-565;572,000;-3708;2049
LANDAREA_MEDI               ;-6660;1192;-558;577,000;-3003;1671
FLAG_DOCUMENT_10            ;-20113;3923;-513;608,000;-9700;5677
FLOORSMIN_MEDI              ;6654;1563;426;670,000;-2397;3728
NONLIVINGAPARTMENTS_MEDI    ;-18885;4434;-426;670,000;-10579;6802
LIVINGAREA_AVG              ;4907;1193;411;681,000;-1848;2829
NONLIVINGAPARTMENTS_AVG     ;-13463;3664;-367;713,000;-8527;5834
YEARS_BEGINEXPLUATATION_MODE;-2411;668;-361;718,000;-1550;1068
FLOORSMIN_AVG               ;-4333;1446;-300;764,000;-3268;2401
FLOORSMIN_MODE              ;-2005;690;-291;771,000;-1552;1151
AMT_REQ_CREDIT_BUREAU_WEEK  ;101;35;289;773,000;-58;79
ENTRANCES_MODE              ;-2128;772;-276;783,000;-1726;1301
FLOORSMAX_AVG               ;3083;1234;250;803,000;-2110;2727
EMERGENCYSTATE_MODE         ;-120;48;-250;803,000;-106;82
FLAG_OWN_REALTY             ;34;16;215;830,000;-28;34
ELEVATORS_AVG               ;-2518;1271;-198;843,000;-2743;2240
LIVINGAREA_MEDI             ;-2692;1376;-196;845,000;-2967;2429
FONDKAPREMONT_MODE          ;17;9;188;851,000;-16;19
LIVINGAREA_MODE             ;-1321;758;-174;862,000;-1618;1354
APARTMENTS_MEDI             ;-2681;1731;-155;877,000;-3661;3125
LANDAREA_MODE               ;-1308;913;-143;886,000;-1921;1659
NONLIVINGAREA_MEDI          ;1822;1383;132;895,000;-2528;2893
APARTMENTS_AVG              ;2077;1643;126;899,000;-3012;3428
AMT_REQ_CREDIT_BUREAU_MON   ;-12;9;-124;901,000;-20;17
APARTMENTS_MODE             ;793;929;85;932,000;-1741;1899
FLOORSMAX_MEDI              ;774;1333;58;954,000;-2535;2690
FLAG_DOCUMENT_12            ;-64858;132901;-49;961,000;-266966;253994
YEARS_BUILD_MODE            ;379;900;42;966,000;-1727;1803
const                       ;424300000;4,57E+15;0,000000928;1000,000;-8,96E+15;8,96E+15
FLAG_MOBIL                  ;-424400000;4,57E+15;-0,000000928;1000,000;-8,96E+15;8,96E+15
FLAG_DOCUMENT_4             ;-3033077;6,83E+67;-4,44E-62;1000,000;-1,34E+68;1,34E+68
