                    Logit Regression Results                    ;;;;;;
Dep. Variable:  ;TARGET          ;  No. Observations:  ;307511;;;
Model:          ;Logit           ;  Df Residuals:      ;307389;;;
Method:         ;MLE             ;  Df Model:          ;121;;;
Date:           ;Mon; 23 Dec 2019;  Pseudo R-squ.:     ;;;
Time:           ;13:23:07;  Log-Likelihood:    ;    -inf;;;
converged:      ;False           ;  LL-Null:           ; -86271.;;;
Covariance Type:;nonrobust       ;  LLR p-value:       ;1.000;;;
;;;;;;
;;;;;;
                            ;   coef   ; std err ;    z    ;P>|z| ;  [0.025 ;  0.975] 
DEF_60_CNT_SOCIAL_CIRCLE    ;    0.0577;    0.033;1.747; 0.081;   -0.007;    0.122
NONLIVINGAREA_MODE          ;-12990,00;    0.767;-1.693; 0.091;-2.803;    0.205
LIVE_REGION_NOT_WORK_REGION ;   -0.1684;    0.100;-1.686; 0.092;   -0.364;    0.027
LIVINGAPARTMENTS_MODE       ;-11890,00;    0.714;-1.666; 0.096;-2.588;    0.210
YEARS_BEGINEXPLUATATION_AVG ;25082,00;1.533;1.636; 0.102;   -0.496;5.513
FLAG_DOCUMENT_17            ;-11247,00;    0.720;-1.561; 0.119;-2.537;    0.287
REGION_RATING_CLIENT        ;   -0.0711;    0.046;-1.533; 0.125;   -0.162;    0.020
YEARS_BEGINEXPLUATATION_MEDI;-21971,00;1.446;-1.519; 0.129;-5.032;    0.638
REG_CITY_NOT_WORK_CITY      ;   -0.0583;    0.039;-1.514; 0.130;   -0.134;    0.017
NAME_HOUSING_TYPE           ;    0.0080;    0.006;1.428; 0.153;   -0.003;    0.019
ENTRANCES_AVG               ;24717,00;1.745;1.416; 0.157;   -0.949;5.893
LIVE_CITY_NOT_WORK_CITY     ;    0.0517;    0.037;1.384; 0.166;   -0.021;    0.125
COMMONAREA_MODE             ;19925,00;1.467;1.359; 0.174;   -0.882;4.867
ELEVATORS_MODE              ;10848,00;    0.810;1.340; 0.180;   -0.502;2.672
HOUR_APPR_PROCESS_START     ;    0.0029;    0.002;1.325; 0.185;   -0.001;    0.007
NAME_CONTRACT_TYPE          ;   -0.0738;    0.056;-1.320; 0.187;   -0.183;    0.036
NONLIVINGAPARTMENTS_MODE    ;33492,00;2.552;1.312; 0.189;-1.653;8.351
LIVINGAPARTMENTS_MEDI       ;24448,00;1.987;1.230; 0.219;-1.450;6.339
ENTRANCES_MEDI              ;-22348,00;1.853;-1.206; 0.228;-5.867;1.398
COMMONAREA_AVG              ;23464,00;1.982;1.184; 0.237;-1.539;6.232
REG_REGION_NOT_WORK_REGION  ;    0.1094;    0.100;1.090; 0.276;   -0.087;    0.306
LIVINGAPARTMENTS_AVG        ;-13394,00;1.317;-1.017; 0.309;-3.920;1.241
LANDAREA_AVG                ;    0.8371;    0.835;1.002; 0.316;   -0.800;2.474
FLOORSMAX_MODE              ;   -0.5963;    0.627;   -0.951; 0.342;-1.825;    0.633
FLAG_DOCUMENT_7             ;   -0.5796;    0.642;   -0.903; 0.366;-1.837;    0.678
NONLIVINGAREA_AVG           ;10640,00;1.231;    0.864; 0.387;-1.348;3.477
YEARS_BUILD_MEDI            ;-19939,00;2.336;   -0.853; 0.393;-6.573;2.585
FLAG_DOCUMENT_19            ;   -0.2584;    0.305;   -0.846; 0.397;   -0.857;    0.340
YEARS_BUILD_AVG             ;19024,00;2.316;    0.821; 0.411;-2.637;6.442
OBS_60_CNT_SOCIAL_CIRCLE    ;   -0.0398;    0.051;   -0.788; 0.430;   -0.139;    0.059
FLAG_DOCUMENT_21            ;    0.2282;    0.298;    0.767; 0.443;   -0.355;    0.812
BASEMENTAREA_MODE           ;    0.6869;    0.909;    0.756; 0.450;-1.094;2.468
OBS_30_CNT_SOCIAL_CIRCLE    ;    0.0363;    0.050;    0.726; 0.468;   -0.062;    0.134
FLAG_EMAIL                  ;    0.0217;    0.030;    0.715; 0.475;   -0.038;    0.081
