Logit Regression Results;;;;
Dep. Variable:;TARGET;No. Observations:;307511;
Model:;Logit;Df Residuals:;307389;
Method:;MLE;Df Model:;121;
Date:;Mon, 23 Dec 2019;Pseudo R-squ.:;-inf;
Time:;12:48:19;Log-Likelihood:;-inf;
converged:;False;LL-Null:;-86271.;
Covariance Type:;nonrobust;LLR p-value:;1.000;
;;;;
;coef;std err;z;P>|z|
FLAG_DOCUMENT_10;0.2282;0.298;0.767;0.443
FLAG_DOCUMENT_11;0.6869;0.909;0.756;0.450
FLAG_DOCUMENT_12;0.0363;0.050;0.726;0.468
FLAG_DOCUMENT_13;0.0217;0.030;0.715;0.475
FLAG_DOCUMENT_14;-4,52E-05;6.63e-08;#CAMPO!;0.495
FLAG_DOCUMENT_15;0.0887;0.133;0.664;0.507
FLAG_DOCUMENT_16;#CAMPO!;1.469;#CAMPO!;0.572
FLAG_DOCUMENT_17;#CAMPO!;1.192;#CAMPO!;0.577
FLAG_DOCUMENT_18;-20.113;3.923;#CAMPO!;0.608
FLAG_DOCUMENT_19;0.6654;1.563;0.426;0.670
FLAG_DOCUMENT_20;-18.885;4.434;#CAMPO!;0.670
FLAG_DOCUMENT_21;0.4907;1.193;0.411;0.681
AMT_REQ_CREDIT_BUREAU_HOUR;-13.463;3.664;#CAMPO!;0.713
AMT_REQ_CREDIT_BUREAU_DAY;#CAMPO!;0.668;#CAMPO!;0.718
AMT_REQ_CREDIT_BUREAU_WEEK;#CAMPO!;1.446;#CAMPO!;0.764
AMT_REQ_CREDIT_BUREAU_MON;#CAMPO!;0.690;#CAMPO!;0.771
AMT_REQ_CREDIT_BUREAU_QRT;0.0101;0.035;0.289;0.773
AMT_REQ_CREDIT_BUREAU_YEAR;#CAMPO!;0.772;#CAMPO!;0.783
NAME_CONTRACT_TYPE;0.3083;1.234;0.250;0.803
CODE_GENDER;#CAMPO!;0.048;#CAMPO!;0.803
FLAG_OWN_CAR;0.0034;0.016;0.215;0.830
FLAG_OWN_REALTY;#CAMPO!;1.271;#CAMPO!;0.843
NAME_TYPE_SUITE;#CAMPO!;1.376;#CAMPO!;0.845
NAME_INCOME_TYPE;0.0017;0.009;0.188;0.851
NAME_EDUCATION_TYPE;#CAMPO!;0.758;#CAMPO!;0.862
NAME_FAMILY_STATUS;#CAMPO!;1.731;#CAMPO!;0.877
NAME_HOUSING_TYPE;#CAMPO!;0.913;#CAMPO!;0.886
OCCUPATION_TYPE;0.1822;1.383;0.132;0.895
WEEKDAY_APPR_PROCESS_START;0.2077;1.643;0.126;0.899
ORGANIZATION_TYPE;#CAMPO!;0.009;#CAMPO!;0.901
FONDKAPREMONT_MODE;0.0793;0.929;0.085;0.932
HOUSETYPE_MODE;0.0774;1.333;0.058;0.954
WALLSMATERIAL_MODE;-64.858;132.901;#CAMPO!;0.961
EMERGENCYSTATE_MODE;0.0379;0.900;0.042;0.966
